"filename", "language", "SCSS", "JavaScript", "JavaScript React", "CSS", "comment", "blank", "total"
"/home/mn/Documents/Hospital/hospital-project/src/pages/custommer/custommerAdd/style.css", "CSS", 0, 0, 0, 28, 7, 6, 41
"/home/mn/Documents/Hospital/hospital-project/src/pages/custommer/custommerNews/detail.jsx", "JavaScript React", 0, 0, 389, 0, 0, 30, 419
"/home/mn/Documents/Hospital/hospital-project/src/pages/custommer/custommerNews/index.jsx", "JavaScript React", 0, 0, 73, 0, 0, 10, 83
"/home/mn/Documents/Hospital/hospital-project/src/pages/custommer/custommerNews/style.css", "CSS", 0, 0, 0, 70, 1, 12, 83
"/home/mn/Documents/Hospital/hospital-project/src/pages/custommer/index.jsx", "JavaScript React", 0, 0, 80, 0, 0, 10, 90
"/home/mn/Documents/Hospital/hospital-project/src/pages/employee/EmployeeDetail.jsx", "JavaScript React", 0, 0, 443, 0, 0, 15, 458
"/home/mn/Documents/Hospital/hospital-project/src/pages/employee/create.jsx", "JavaScript React", 0, 0, 151, 0, 0, 11, 162
"/home/mn/Documents/Hospital/hospital-project/src/pages/employee/index.jsx", "JavaScript React", 0, 0, 58, 0, 0, 7, 65
"/home/mn/Documents/Hospital/hospital-project/src/pages/home/PieCharts.jsx", "JavaScript React", 0, 0, 40, 0, 0, 7, 47
"/home/mn/Documents/Hospital/hospital-project/src/pages/home/chart.jsx", "JavaScript React", 0, 0, 41, 0, 0, 4, 45
"/home/mn/Documents/Hospital/hospital-project/src/pages/home/index.jsx", "JavaScript React", 0, 0, 379, 0, 0, 5, 384
"/home/mn/Documents/Hospital/hospital-project/src/pages/home/style.css", "CSS", 0, 0, 0, 75, 1, 14, 90
"/home/mn/Documents/Hospital/hospital-project/src/pages/login/index.jsx", "JavaScript React", 0, 0, 102, 0, 0, 11, 113
"/home/mn/Documents/Hospital/hospital-project/src/pages/profile/index.jsx", "JavaScript React", 0, 0, 183, 0, 0, 11, 194
"/home/mn/Documents/Hospital/hospital-project/src/pages/report/index.jsx", "JavaScript React", 0, 0, 7, 0, 0, 2, 9
"/home/mn/Documents/Hospital/hospital-project/src/pages/resource/index.jsx", "JavaScript React", 0, 0, 134, 0, 0, 13, 147
"/home/mn/Documents/Hospital/hospital-project/src/pages/service/ServiceDetail.jsx", "JavaScript React", 0, 0, 10, 0, 0, 3, 13
"/home/mn/Documents/Hospital/hospital-project/src/pages/service/form.jsx", "JavaScript React", 0, 0, 148, 0, 0, 12, 160
"/home/mn/Documents/Hospital/hospital-project/src/pages/service/index.jsx", "JavaScript React", 0, 0, 41, 0, 0, 9, 50
"/home/mn/Documents/Hospital/hospital-project/src/pages/test/index.jsx", "JavaScript React", 0, 0, 38, 0, 0, 4, 42
"/home/mn/Documents/Hospital/hospital-project/src/pages/work_users/index.jsx", "JavaScript React", 0, 0, 202, 0, 1, 16, 219
"/home/mn/Documents/Hospital/hospital-project/src/style.css", "CSS", 0, 0, 0, 13, 0, 3, 16
"/home/mn/Documents/Hospital/hospital-project/src/styles/abstracts/_functions.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"/home/mn/Documents/Hospital/hospital-project/src/styles/abstracts/_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"/home/mn/Documents/Hospital/hospital-project/src/styles/abstracts/_placeholders.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"/home/mn/Documents/Hospital/hospital-project/src/styles/abstracts/_variables.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"/home/mn/Documents/Hospital/hospital-project/src/styles/base/_reset.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"/home/mn/Documents/Hospital/hospital-project/src/styles/base/_typography.scss", "SCSS", 4, 0, 0, 0, 0, 2, 6
"/home/mn/Documents/Hospital/hospital-project/src/styles/components/_client.scss", "SCSS", 24, 0, 0, 0, 0, 4, 28
"/home/mn/Documents/Hospital/hospital-project/src/styles/components/_customer.scss", "SCSS", 6, 0, 0, 0, 0, 1, 7
"/home/mn/Documents/Hospital/hospital-project/src/styles/components/_doctor_card.scss", "SCSS", 29, 0, 0, 0, 0, 6, 35
"/home/mn/Documents/Hospital/hospital-project/src/styles/components/_experiences_field.scss", "SCSS", 20, 0, 0, 0, 0, 4, 24
"/home/mn/Documents/Hospital/hospital-project/src/styles/components/_header.scss", "SCSS", 47, 0, 0, 0, 0, 7, 54
"/home/mn/Documents/Hospital/hospital-project/src/styles/components/_nav_button.scss", "SCSS", 29, 0, 0, 0, 0, 4, 33
"/home/mn/Documents/Hospital/hospital-project/src/styles/components/_page_loading.scss", "SCSS", 6, 0, 0, 0, 0, 1, 7
"/home/mn/Documents/Hospital/hospital-project/src/styles/components/_profile_image_upload.scss", "SCSS", 29, 0, 0, 0, 0, 5, 34
"/home/mn/Documents/Hospital/hospital-project/src/styles/components/_side_menu.scss", "SCSS", 33, 0, 0, 0, 0, 5, 38
"/home/mn/Documents/Hospital/hospital-project/src/styles/components/_time_list_item.scss", "SCSS", 46, 0, 0, 0, 0, 10, 56
"/home/mn/Documents/Hospital/hospital-project/src/styles/components/_treatment_times_table.scss", "SCSS", 18, 0, 0, 0, 0, 3, 21
"/home/mn/Documents/Hospital/hospital-project/src/styles/components/_upload_image.scss", "SCSS", 26, 0, 0, 0, 0, 3, 29
"/home/mn/Documents/Hospital/hospital-project/src/styles/layout/_header.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"/home/mn/Documents/Hospital/hospital-project/src/styles/main.scss", "SCSS", 14, 0, 0, 0, 0, 6, 20
"/home/mn/Documents/Hospital/hospital-project/src/styles/pages/_calendar.scss", "SCSS", 5, 0, 0, 0, 0, 1, 6
"/home/mn/Documents/Hospital/hospital-project/src/styles/pages/_customer.scss", "SCSS", 13, 0, 0, 0, 0, 0, 13
"/home/mn/Documents/Hospital/hospital-project/src/styles/pages/_employee.scss", "SCSS", 8, 0, 0, 0, 0, 1, 9
"/home/mn/Documents/Hospital/hospital-project/src/styles/pages/_employee_detail.scss", "SCSS", 112, 0, 0, 0, 0, 17, 129
"/home/mn/Documents/Hospital/hospital-project/src/styles/pages/_login.scss", "SCSS", 33, 0, 0, 0, 0, 4, 37
"/home/mn/Documents/Hospital/hospital-project/src/styles/pages/_profile.scss", "SCSS", 9, 0, 0, 0, 0, 2, 11
"/home/mn/Documents/Hospital/hospital-project/src/styles/pages/_resource.scss", "SCSS", 7, 0, 0, 0, 0, 0, 7
"/home/mn/Documents/Hospital/hospital-project/src/styles/pages/_resourceDetail.scss", "SCSS", 5, 0, 0, 0, 0, 1, 6
"/home/mn/Documents/Hospital/hospital-project/src/styles/pages/_service.scss", "SCSS", 7, 0, 0, 0, 0, 0, 7
"/home/mn/Documents/Hospital/hospital-project/src/styles/pages/_test.scss", "SCSS", 3, 0, 0, 0, 0, 1, 4
"/home/mn/Documents/Hospital/hospital-project/src/styles/pages/service_detrail.scss", "SCSS", 5, 0, 0, 0, 0, 1, 6
"/home/mn/Documents/Hospital/hospital-project/src/styles/themes/_themes.scss", "SCSS", 65, 0, 0, 0, 4, 14, 83
"/home/mn/Documents/Hospital/hospital-project/src/utils/request.js", "JavaScript", 0, 82, 0, 0, 0, 23, 105
"/home/mn/Documents/Hospital/hospital-project/src/utils/upload.js", "JavaScript", 0, 20, 0, 0, 0, 3, 23
"Total", "-", 603, 281, 4011, 205, 26, 515, 5641
